CourseNum,CourseName,Credits,Description
CS 100,Freshman Orientation,1,"
Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
"
CS 101,Intro Computing: Engrg & Sci,3,"
Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: MATH 220 or MATH 221. This course satisfies the General Education Criteria for:Quantitative Reasoning II"
CS 102,Little Bits to Big Ideas,4,"
Same as INFO 102. See INFO 102.
"
CS 105,Intro Computing: Non-Tech,3,"
Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Prerequisite: MATH 112. This course satisfies the General Education Criteria for:Quantitative Reasoning I"
CS 107,Data Science Discovery,4,"
Same as IS 107 and STAT 107. See STAT 107.This course satisfies the General Education Criteria for:Quantitative Reasoning I"
CS 125,Intro to Computer Science,4,"
Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Prerequisite: Three years of high school mathematics or MATH 112. This course satisfies the General Education Criteria for:Quantitative Reasoning I"
CS 126,Software Design Studio,3,"
Fundamental principles and techniques of software development. Design, documentation, testing, and debugging software, with a significant emphasis on code review. Credit is not given for both CS 242 and CS 126. Prerequisite: CS 125. For majors only.
"
CS 173,Discrete Structures,3,"
Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213. Prerequisite: One of CS 125, ECE 220; one of MATH 220, MATH 221.
"
CS 196,Freshman Honors,1,"
Offered for honors credit in conjunction with other 100-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. Prerequisite: Concurrent registration in another 100-level computer science course (see Schedule).
"
CS 199,Undergraduate Open Seminar in Computer Science,0 to 5,"
Topics vary. Approved for Letter and S/U grading. May be repeated.
"
CS 210,Ethical & Professional Issues,2,"
Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. Credit is not given for both CS 210 and ECE 316. Prerequisite: CS 225. Junior standing required.
"
CS 225,Data Structures,4,"
Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. Prerequisite: CS 125 or ECE 220; CS 173 or MATH 213. This course satisfies the General Education Criteria for:Quantitative Reasoning II"
