NetID,Professor Name,Professor Description,Research Interest,Research Area,Research Topic
haitham,Haitham Al-Hassanieh,,,,
jontalle,Jont Allen," Allens website is (http://auditorymodels.org)  BIO:
During his 32 year AT&T Bell Labs career (after 1998, AT&T Labs) Allen specialized in nonlinear cochlear modeling, auditory and cochlear speech processing, and speech perception. While at AT&T Allen wrote more than 50 sole-authored journal articles on hearing, cochlear modeling, signal processing, room acoustics, speech perception and the articulation index (AI, a.k.a.  speech transmission index (STI), Speech intelligibility index (SII)). In 1982-1987 Allen he had primary responsibility with the development of the first commercial multiband wideband dynamic range compression (WDRC) hearing aid, later sold as the ReSound hearing aid. During this 5 years he was working closely with clinical audiologists and speech and hearing scientists, and with several hearing aid manufactures (Starkey, Phonak, Etymotic), who subsequently funded Allen's work.  During this period Allen wrote the first DSP code and developed the first fitting system, based on loudness in 1/2 octave bands (LGOB) which was used by ReSound as their commercial fitting system for many years. He was also responsible for the first analog compression circuits used in the primary product, that was produced by AT&T for ReSound, at the Allentown PA silicon foundry. Starting in 1986, Allen developed one of the first systems for non-evasively evaluating cochlear hearing using distortion produce otoacoustic emissions (DPOAEs), known as the (Cub^eDis) measurement system, which for several years (1988-1995) was commercially sold by Etymotic research, and after that by Mimosa Acoustics, for which Allen serves as the Chief Technology Officer (CTO). From 1998-2003, while at AT&T Labs, a spin off from Bell Labs, Allen worked on Loudness and consonant perception, which is a problem closely related to AI theory. In Aug. 2003 he join the ECE faculty, University of IL, Urbana where he teaches and works with his students on noninvasive objective diagnostic testing of cochlear and middle ear function, based on  acoustic reflectance (aka impedance) methods of the middle ear, auditory psychophysics, speech processing for hearing aid applications (noise reduction and multiband compression), speech and music coding (bit-rate reduction) and speech perception (models of loudness and  masking) and hearing aid transducer modeling. He is most actively working on the theory and practice of human speech recognition, for both normal and hearing impaired hearing, with the goals of improving hearing aid signal processing as well as automatic speech recognition robustness in the presences of noise and filtering.  From 2003-present, Allen has a number of students active in various projects on speech perception, middle ear models and hearing aid signal processing (Allen's Research Group) In the last 10 years Allen and his students have collected several large databases of speech perception in noise, by normal and impaired human subjects. This work has resulting in many publications on human speech perception.   From 2005-present Allen has also studied reading disabilities in young children. This work has been in collaboration with Prof. Cynthia Johnson of the UIUC Speech and Hearing Science Department (and many of her students). A third major research topic is the diagnosis of middle ear disorders, based on acoustic impedance measurements.This work is well documented in the publications from 1974-2015  (http://auditorymodels.web.engr.illinois.edu//index.php/Main/Publications). Allen has successfully developed several complex and innovative research programs,  first at Bell Labs in 1995  (cochlear modeling), followed by the development of the Bell Labs multiband compression hearing aid (1985-88) (Now labeled as GN-ReSound en.wikipedia.org/wiki/ReSound), followed by his speech perception research at UIUC in 2003 with his group of highly productive students.  This research has  provided many deep insights into difficult, significant and challenging problems of speech perception. Specifically Allen and his students have identified the basic features of many plosive and fricative speech sounds. This has allowed them to manipulate the perception of speech with surgical precision. Allen is well-versed in cochlear modeling, auditory neurophysiology, speech perception, speech processing, psychophysics, audiology as well as musical, speech and middle ear acoustics, acoustic impedance and reflectance, analog and digital signal processing, and clinical audiology.  Allen has more than 20 US patents on hearing aids, signal processing and middle ear measurement diagnostics. He teaches courses in mathematical physics (http://auditorymodels.web.engr.illinois.edu/index.php/Courses/ECE493-2013AdvEngMath), speech processing (http://auditorymodels.web.engr.illinois.edu/index.php/Courses/ECE537-2014SpeechProcessing), analog and digital signal processing, and clinical audiology, electroacoustics, transducer design (http://auditorymodels.web.engr.illinois.edu/index.php/Courses/ECE403-2013AudioEngineering).  His special interest is speech perception, which brings together many of these fields in a relevant way.  Additionally Allen has co-taught ECE-545 (Advanced Physical Acoustics) (https://courses.illinois.edu/schedule/2013/fall/ECE/545). This coming semester he has introduced a new math course for undergraduates ""ECE 298 JA - Concepts in Engineering Math"" (http://www.ece.illinois.edu/academics/courses/profile/ECE298JA-120158, http://auditorymodels.web.engr.illinois.edu/index.php/Courses/ECE298JA-F15). Since the early 1990's, Allen has been a visiting scientist in the Departments of Otolaryngology of Columbia University, City university of New York, and University of Calgary, and was an Osher Fellow at the Exploratorium Museum, San Francisco (www.exploratorium.edu/). He has been very active in IEEE and the ASA, running both major conferences (IEEE-ICASSP 1985, New York) and many small workshops.","
Music perception
Musical Acoustics (guitars, fiddles, some wind instruments)
Evanescent wave propagation in horns
Transducer physics and modeling (Loudspeakers)
Wave propagation in inhomogeneous media. Acoustic horns.
Models of the outer hair cells of the cochlea. Biophysical model of hair cell membrane mechanical properties, as a function of membrane voltage. (with Paul Fahey, Univ. Scranton, physics dept.)
Modeling the middle ear in the time domain, with wave models. How does the eardrum transform the acoustic energy and funnel it into the cochlea?
Robust human speech recognition
Speech and music coding
Articulation index modeling of confusion matrix measurements, of consonant vowel sounds, in noise
Speech processing for hearing aid applications: Special signal processing techniques for removing reverberation and noise; multiband compression for loudness recruitment abatement;
Auditory psychophysics: Intensity just noticeable difference (JND), speech psychophysics; confusion matrices; information processing by the auditory system
Human speech recognition: Reverse engineering, measuring and modeling speech cues used by the human auditory system, when recognizing speech in large amounts of noise and with filtering; Articulation index; confusion matrices; information processing by the auditory system with speech as the signal
Noninvasive diagnostic testing of the cochlear and middle ear: Otoacoustic emissions measured in the ear canal; noninvasive diagnostics; distortion product measurements; SFOAE; impedance; power reflectance of the ear canal
Cochlear modeling: Mathematical models of cochlear function, including basilar membrane motion, biophysical models of outer hair cells; models of the micromechanics, including the tectorial membrane and cilia motions.","
Acoustics
Adaptive signal processing
Analog integrated circuits
Audio, speech, music and auditory processing
Communications
Electromagnetic theory
High-frequency circuits
Microwave devices and circuits
Nonlinear systems and control
Radio and optical wave propagation
Signal Processing
Speech recognition and processing","
RF and microwave engineering"
alvarez,Juan Alvarez,,"
Applied probability
Mathematical modeling of polymers and biophysical systems; in particular:
- configurational and statistical properties of lattice models for polymers
- steric stabilization and sensitized flocculation of colloidal dispersions
- adsorption and localization of random copolymers
- ion transport","
Communications",
mdbailey,Michael Donald Bailey,,,,
arijit,Arijit Banerjee,,,,
ymb,Yuliy Baryshnikov,,,,
basar1,Tamer Baar,"Tamer Baar, who has been has been with the University of Illinois at Urbana-Champaign since 1981, was named Interim Dean of the College of Engineering at Illinois in January 2018. He is also the Director of the Center for Advanced Study (appointed in 2014), and currently holds the academic positions of Swanlund Endowed Chair; Center for Advanced Study Professor of Electrical and Computer Engineering; Professor, Coordinated Science Laboratory; Professor, Information Trust Institute; and Affiliate Professor, Mechanical Science and Engineering. Between 2008 and 2010, he was also Interim Director of the Beckman Institute for Advanced Science and Technology. He received his BSEE degree (1969) from Robert College (Istanbul), and MS (1970), MPhil (1971), and PhD (1972) degrees from Yale University (New Haven). Dr. Baar is a member of the US National Academy of Engineering (elected in 2000); Fellow of the Institute of Electrical and Electronics Engineers (IEEE), International Federation of Automatic Control (IFAC), and Society of Industrial and Applied Mathematics (SIAM); a past president of the IEEE Control Systems Society (CSS), the founding (and past) president of the International Society of Dynamic Games (ISDG), and a past president of the American Automatic Control Council (AACC). He has received several awards and recognitions over the years, including the highest awards of IEEE CSS, IFAC, AACC, and ISDG (respectively, the Bode Lecture Prize, Quazza Medal, Bellman Award, and Isaacs Award), the IEEE Control Systems Technical Field Award, Medal of Science of Turkey, and a number of international honorary doctorates and professorships, including chaired professorship at Tsinghua University. He has also received the Tau Beta Pi Daniel C. Drucker Eminent Faculty Award of the College of Engineering (2004). Professor Baar has over 800 publications in systems, control, communications, optimization, networks, and dynamic games, including books on non-cooperative dynamic game theory, robust control, network security, wireless and communication networks, and stochastic networks. Among his current research interests are multi-agent networked systems; stochastic teams, games, and networks; security; energy systems, including the smart grid; social networks; and cyber-physical systems. He was the editor-in-chief of the premier journal in control, Automatica, for eleven years (2004-2014), and is currently editor of several book series.  My current research interests concern: o Formulation of security and trust in communication and computer networks within control- and game-theoretic frameworks, addressing issues like intrusion detection and response, malware filtering, trust propagation and evolution, and resource allocation. o Remote control over networks under rate constraints, where the underlying issues are quantization and handling of packet losses and the presence noise in forward and reverse channels. o Optimal control and sensing over networks when the number of transmissions is restricted a priori. o Pricing, optimum resource allocation, and  mechanism design in networks with multiple user and service classes. o Consensus in computation under bit constraints on exchange of information among different computing stations, and with asynchronous communication. o Control of packets in networks for improved performance and particularly with regard to TCP and router algorithms. o Multi-level multi-resolution games with a high population of agents operating in adversarial environments. o Application of game-theoretic tools to resilience of cyber-physical systems, and the smart grid.","
Multi-Resolution Games and Mean-Field Analysis for Infinitely Many Agents
Cyber-Physical Systems
Usage-Limited Sensing, Estimation, and Control
Control over Heterogeneous Networks
Intrusion Detection in Communication and Computer Networks
Pricing Policies in Networks
Flow Control and Routing in Communication Networks
Neural Networks-Based Identification and Control
Organizational Design, Incentives, and Coordination
Asynchronous Computation in Distributed and Economic Systems
Large Scale Systems Optimization via Singular and Regular Perturbations Analysis
Decentralized Detection and Estimation
Nonlinear and Distributed Control
Minimax (H-infinity optimal) Hierarchical Controllers for Linear and Nonlinear Systems; Performance Robustness Analysis
Stochastic Dynamic Games and Teams; Nonclassical Information Patterns","
Communications
Control
Dynamic games and decision theory
Networked control systems
Networking and distributed computing
Nonlinear systems and control
Reliable and robust control
Stochastic systems and control",
cbayram,Can Bayram,"Prof. Can Bayram is an Assistant Professor in the Department of Electrical and Computer Engineering of University of Illinois at Urbana-Champaign, IL, USA. He is an expert in III-V materials and photonic and electronic devices. He has performed more than 3,000+ epitaxial growths with metalorganic chemical vapor deposition (MOCVD) systems and fabricated detectors, light emitting diodes, solar cells, resonant tunneling diodes, and transistors in class 100 and 1000 cleanrooms totaling 20,000+ hrs equipment usage. His current research interests lie in the intersection of novel III-V materials, hetero-structures, and photonic and electronic quantum devices. Particularly, his research group explores novel materials, devices, and their 3D hetero-integration on unconventional platforms such as graphene and silicon; investigates heat transport across/through semiconductors; efficiency droop mechanisms and remedies in AlInGaN emitters; and ultra-fast THz photonics/electronics. Prof. Bayrams work has been recognized widely. He is the recipient of the 2018 International Union of Pure and Applied Physics Young Scientist Prize in Optics, the 2018 IEEE Nanotechnology Council Early Career Award, a 2018 Dean's Award for Excellence in Research for Assistant Professor, a 2018 Turkish American Scientists & Scholars Association Young Scholar Award, a 2017 NSF CAREER Award, the 2017 CS Mantech Best Student Paper Award, a 2016 AFOSR Young Investigator Award, the 2014 IEEE Electron Devices Society Early Career Award, and the Best Paper Award at the 11th International Conference on Infrared Optoelectronics. Prof. Bayram is an affiliate faculty of Nick Holonyak, Jr Micro and Nanotechnology Laboratory and Carle Illinois College of Medicine. He has (co-) authored 45 journal papers (h-index  23), 34 conference proceeding papers, 2 book chapters, and has  47 patents issued/pending. For his achievements in ultraviolet-to-terahertz engineering of III-V semiconductor materials and devices, OSA, SPIE, and IEEE recognized him with senior member status.  Prof. Bayram worked as a Postdoctoral Research Scientist in the Silicon Technologies Division at the IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA from 2011 till 2014. His postdoctoral work at IBM on a novel means of thin film technology achieved record-breaking specific power solar cells and was featured on the cover of Advanced Energy Materials. He has - for the first time - integrated GaN-based devices on CMOS-compatible silicon substrates. This work was highlighted as the frontispiece in the Advanced Functional Materials issue. He demonstrated direct epitaxy of GaN on Graphene for the first time, as published in Nature Communications. Prof. Bayram received the Ph.D. degree from Prof. Manijeh Razeghi, Center for Quantum Devices, EECS of Northwestern University, IL, USA with a focus on Solid State and Photonics in 2011. His thesis work has demonstrated the first ultraviolet regime single photon detection, the first hybrid LED, and the first GaN intersubband devices. He received IEEE Electron Devices and IEEE Photonics Societies' fellowship awards and the Laser Technology, Engineering and Applications Award from SPIE. He was an IBM and Link Foundation PhD fellow and the recipient of Boeing Engineering and Dow Sustainability Innovation awards. Semiconductor fundamentals are essential in understanding everyday electronic and photonic devices. Undergraduate education should provide a solid foundation in semiconductors and should relate to everyday solid state devices. My goal as an instructor is to get students explain device behavior from the atomic scale up. I achieve this via first motivating the class for the big picture and then focusing on the atomic scale and describing atomic interactions leading to macroscopic effects observed in solid state devices. By building up the device behavior through atomic engineering, students understand the fundamentals governing everyday semiconductor devices such as light emitting diodes, solar cells, and transistors. It is notable that underlying physics, engineering, and science of solid state devices remain the same half a century; however, their applications  which I deem most important as an engineering faculty  diverse speedily. I see my role as a faculty not only to teach the fundamentals to the students but also making them aware of many out-there opportunities in the world. In the midst of fast-paced technology, one way to enable this is updating teaching tools and course materials. My instruction is geared towards enabling students become aware that microelectronics and photonics field is beyond the conventional solid state device applications and exciting them into the emerging interdisciplinary areas. I firmly believe teaching and research go hand-in-hand. I bring real-life problems to the classroom. Students need to leave their comfort zone, forego the classical classroom mentality, and look at tomorrow's needs via extending their knowledge, skills, and self. I bring fundamental knowledge, updated tools, and targeted means to the classroom for them do so. Our current research interests lie in the intersection of novel III-V materials and hetero-structures & photonic and electronic quantum devices. Particularly, we explore novel materials, devices, and their 3D hetero-integration on unconventional platforms such as graphene and silicon, heat transport across/through semiconductors, efficiency droop mechanisms and remedies in AlInGaN emitters, and ultra-fast THz photonics/electronics. Our work is interdisciplinary. Our team demonstrates strong skills in solid state physics, first principles calculations, Technology Computer Aided Design, micro/nano-fabrication, and reliability characterization and analysis of semiconductor devices. Our group might have an opening for a postdoctoral researcher who has HANDS-ON experience in the micro/nano-FABRICATION of compound semiconductor devices (including light emitting diodes and transistors based on GALLIUM NITRIDE devices) in a cleanroom environment. Postdoctoral candidates are encouraged to contact Prof. Can Bayram directly via email (and should attach their CV and the contact information for at least two references) to inquire about any position/project openings. Our group is inviting undergraduate and graduate students to apply for PhD thesis openings in the areas of (a) Novel III-V materials and hetero-structures, and (b) Photonic and electronic quantum devices. Our graduate students are recognized internally (as UIUC ECE 443 Best Project Awardees, UIUC College of Engineering Yunni & Maxine Pao Memorial Fellows, UIUC ECE Gregory Stillman Semiconductor Research Awardees, UIUC ECE Ernest A. Reid Fellows, UIUC ECE Nick and Katherine Holonyak, Jr. Outstanding Research Awardees, Graduate College Travel Grantees for Dissertation Research), nationally (as NSF Graduate Research Fellows, NASA Space Technology Research Fellows) and internationally (as SPIE Scholars, Conference Best Paper Awardees, Conference Travel Grantees, Siegman International School on Lasers Invitees). Incoming and/or interested graduates are encouraged to browse our group webpage and contact Prof. Can Bayram directly via email (and should attach their CV and unofficial UG/GRAD transcripts) to inquire about any position/project openings. Our group is inviting highly motivated undergraduates, currently enrolled at our University of Illinois at Urbana-Champaign, to join our research team. Particularly, students who wish to have experience in semiconductor devices and who are passionate about creating next generation photonic and micro/nano-electronic devices are welcomed. Historically, students who joined our research team as early as in their freshman/sophomore years are recognized internally (as UIUC ECE Bardeen Undergraduate Research Awardees, University of Illinois Campus Churchill Scholarship Nominees, UIUC College of Engineering Scholars, UIUC Campus Honors Program Summer Research Grantees, UIUC ECE Robert C. MacClinchie Scholars, UIUC ECE Michael E. Napier Memorial Awardees. UIUC MATSCI Alfred W. Allen Awardees, UIUC MATSCI Earl J. Eckel Scholars, UIUC ECE Distinguished Research Fellows, UIUC ECE Distinguished Fellows, University of Illinois Campus Churchill Scholarship Nominees) and externally (as Goldwater Scholars, NSF Graduate Research Fellows, NSF REU Awardees, SPIE Scholars, IEEE Women in Photonics Travel Grantees, DaRin Butz Foundation Research Scholars, Greater Austin Illini Club Scholars). UG researchers are expected to perform (at least one semester) summer research in our group. Please contact Prof. Can Bayram directly via email (and attach your CV and unofficial transcript showing your courses) to inquire about our any position/project openings.","
 Efficiency droop mechanisms and remedies in AlInGaN emitters
Ultra-fast THz photonics/electronics
Heat transport across/through semiconductors
Novel materials, devices, and their 3D hetero-integration on unconventional platforms such as graphene and silicon","
Efficient energy management and conversion for lighting, communications, information technology, transportation, and appliances
Electromagnetics and Optics
Energy storage conversion, management, and control
Gallium nitride power semiconductors
Microcavity lasers and nanophotonics
Microelectromechanical systems (MEMS)
Microelectronic and photonic device modeling
Microelectronics and Photonics
Microwave devices and circuits
Microwave integrated circuits
Millimeter wave integrated circuits
Nano-electronics and single electronics
Nano-materials
Nano-photonics
Nanotechnology
Photonic crystals
Photonic integrated circuits (PICs)
Power and Energy Systems
Quantum nanostructures for electronics and photonics
Semiconductor electronic devices
Semiconductor lasers and photonic devices
Semiconductor materials
Sensors","
Beyond CMOS
Charge particle physics and engineering
Electronics, Plasmonics, and Photonics
Energy
Micro & nanoelectromechanical M/NEMS integrated systems
Photonics: optical engineering and systems
Quantum optics, cryptography, information, and computing
RF and microwave engineering
Semiconductor devices and manufacturing
Solar and renewable technology"
belabbas,Mohamed Ali Belabbas,http://publish.illinois.edu/belabbas/,,"
Nonlinear systems and control","
Autonomous Systems and Artificial Intelligence
Autonomous vehicular technology, UAVs
Bioelectronics and Bioinformatics
Cognitive computing
Computational science and engineering
Cyberphysical systems and internet of things
Data science and analytics
Data/Information Science and Systems
Decision science
Machine learning
Network science and engineering
Neuro-engineering
Robotics
Sensing systems
Smart infrastructures"
jbernhar, Jennifer Bernhard," Prof. Bernhard's research addresses applications-oriented electromagnetic problems with an emphasis on theoretical analysis and experimental investigation. Her research group focuses on two areas: Electromagnetics for Wireless Communication and Reconfigurable Active and Passive Antennas.   Electromagnetics for Wireless Communication: This work centers on cutting-edge technology development and design techniques that will enable high data-rate wireless communication and wireless parallel computation. Prof. Bernhard's research group investigates the effects of packaging on antenna performance and uses these results to develop design-oriented models for internal antennas, embedded antennas, and diversity schemes. The research also creates synthesis approaches for internal portable antenna systems, including IoT, that produce desired performance while reducing user exposure and battery usage.    Reconfigurable Active and Passive Antennas: Prof. Bernhard's research implements reconfigurability in antenna structures to provide flexibility in operating frequency, bandwidth, and radiation pattern performance. Reconfigurability is accomplished using MEMS (microelectromechanical system) or traditional microwave switches, ferroelectric materials, or mechanical actuation of antenna components. The new multi-function antennas developed in this research will reduce dramatically the number and size of large array-based antenna systems, improve system efficiency, and decrease system cost and weight.    The research group is supported by a specialized fabrication facility, a new anechoic chamber (the Illinois Wireless Wind Tunnel), Agilent vector network analyzers, and opportunities for collaborations with the UIUC Center for Computational Electromagnetics.   Students with an interest in applied electromagnetics, including antennas and high frequency circuits, are encouraged to contact me via e-mail.  The background required for an undergraduate research position in my lab includes good performance in ECE 329 and ECE 450, with other advanced EM courses always a plus.  For first- and second-year students who haven't taken these courses yet, opportunities may exist from semester to semester to help with the research projects of advanced undergraduates or graduate students, but at a more basic level.","
Multifunction Antennas and Antenna Systems
Wireless Sensor Systems, including the Internet of Things (IoT)
Antennas and Electromagnetics for Wireless Communication
Reconfigurable Active and Passive Antennas",,
